ID,Current_Job,Career_Interest,Qualification,Years_of_experience,Industry
385, Software Implementation Consultant,Chiropractor,bsc meteorology,0,Consumer Products & Services
386, Special Assistant to the Governor of ...,Dentist,bsc petroleum engineering,0,Software
387, Customer Service Representative,Dental Hygienist,bsc pharmacy,0,Retail
388, Yaba College of Technology ...,Dietician,bsc plant science,10,Financial Services
389, Corporate Retention Associate,Emergency Medical Technician (EMT),bsc polymer science and technology,10,Government Services
390, Data Research Analyst ,Family Physician,bsc psychology,5,Business Products & Services
391, Financial Transaction Officer ,Genetic Counselor,bsc public health,5,Advertising & Marketing
392, Product Implementation and Support ...,Massage Therapist,bsc radiological science,10,Computer Hardware
393, CEO/MD at Denwi Services Limited,Medical Assistant,bsc software engineering,7,Software
394, Team Lead ,Nurse,bsc surveying and geoinformatics,3,Software
395, Zero Carbon Africa Impact ...,Occupational Therapist,bsc tourism and hospitality management,5,Human Resources
396, Customer Relationship and Business ...,Optometrist,bsc wildlife and fisheries management,9,Health
397, Data Analyst ,Orthodontist,Bsc.Agricultural Economics ,10,IT Management
398, Business Analyst ,Pharmacist,Bsc.Accounting ,5,Advertising & Marketing
399, Sonographer ,Physical Therapist,"BE,French and Education",5,Logistics & Transportation
400, Physical Educator,Physician Assistant,Bsc.Marketing ,5,Logistics & Transportation
401, Data Analyst intern ,Psychologist,Bsc.Economics ,3,Telecommunications
402, University of Ibadan,Radiologist,Bsc.Real Estate Management ,10,Advertising & Marketing
403, Brand Manager/Data Analysts,Registered Nurse (RN),BSc Business Administration and Management ,5,Advertising & Marketing
404, Finance Executive ,Speech-Language Pathologist,BSc Business Administration and Management ,7,Construction
405, Chief Analyst ,Surgeon,BA Mass commuication/Media studies,5,Business Products & Services
406, Nursing and Midwifery Board of Ireland,Veterinarian,BA Combined Arts,4,IT Management
407, Data Scientist/Analyst ,Lawyer,BSc Anatomy,10,Logistics & Transportation
408, Information Technology Engineer,Law Enforcement Officer,B.Eng. Electronics and computer Engineering ,9,Government Services
409, Data Analyst ,Paralegal,B.Eng. Electrical Engineering ,10,Advertising & Marketing
410, Assistant Operations Manager ,Politician,B.Eng. Mechanical Engineering ,7,Manufacturing
411, Design Internship ,Social Worker,BSc Computer Science,5,Health
412, Lead ,Astronomer,Bsc.Geophysics,7,Retail
413, Data Analyst & Researcher,Biochemist,"BA,Bachelor of Art",4,IT System Development
414, Relationship Manager ,Biologist,Bsc.Geography ,10,Travel & Hospitality
415, Data Analytics ,Chemist,Bsc.Computer Science ,10,Retail
416, Office Assistant and Web Developer,Climatologist,Bsc.Public Administration ,7,Education
417, Switch Application Support Officer ,Ecologist,"BE,Electrical and Electronics Engineering ",5,Security
418, Research Analyst ,Geologist,Bsc.Computer Science ,10,Security
419, Customer Service Representative,Marine Biologist,"BE,Civil Engineering ",0,IT Management
420, Sales Manager ,Mathematician,BA.History ,11,Real Estate
421, Logistics Specialist/Procurement officer,Meteorologist,Bsc.Sociology ,12,Logistics & Transportation
422, Graduate Student ,Paleontologist,Bsc. Physiology,7,Telecommunications
423, Information Technology System Analyst,Physicist,"B.Sc, International Public Health/International Health",11,Construction
424, Graduate Teaching Assistant,Research Scientist,"BS, Biochemistry",10,Food & Beverage
425, Software Engineer ,Statistician,"BS, Management and Accounting",10,IT Management
426, Reporting Analyst ,Counselor,"B.Sc, Microbiology, General",9,Real Estate
427, Monitoring And Evaluation Officer,Life Coach,Bachelor of Industrial Mathematics,5,Construction
428, Consultant ,Probation Officer,BSc Computer Science,5,Advertising & Marketing
429, Data Analyst ,Social Worker,BS Marine Biology and Biological ,5,Food & Beverage
430, Technology Risk Consultant ,Therapist,"BScEd, Home Economics",10,Software
431, Data Analyst ,Barber,Bsc.Psychology ,10,Logistics & Transportation
432, Data Analytics Intern,Carpenter,Bsc.Mass Communication ,7,Government Services
433, Area Sales Manager ,Electrician,Bsc.Electrical and Electronics Engineering ,10,Real Estate
434, The World Bank,Hairdresser,"Bsc,Economics ",10,Environmental Services
435, Data Administrator ,HVAC Technician,Bsc.Sociology ,9,Consumer Products & Services
436, Ambassador ,Landscaper,Bsc.Computer Science ,4,Retail
437, Digital Transformation Analyst ,Mechanic,Bsc.Computer Science ,7,Education
438, Seedstars,Plumber,"BA,  Linguistics ",7,Retail
439, mymdoc,Welder,B.Eng Mechanical Engineering ,10,Government Services
440, Distribution substation operator(DSO),Athletic Trainer,"BASc, Management Information Systems",8,Advertising & Marketing
441, Lecturer ,Event Planner,"BSc City/Urban, Community and Regional Planning",10,Financial Services
442, Comcast,Fitness Instructor,BSc. Computer Science,15,Logistics & Transportation
443, Managing Partner (CEO) ,Flight Attendant,B.Tech. Computer Engineering,10,Advertising & Marketing
444, Aveo,Hospitality Manager,BSc Fishing and Fisheries Sciences and Management,8,Security
445, Educational Psychologist,Pilot,BSc Geology/Earth Science,15,Advertising & Marketing
446, Lead Consultant ,Travel Agent,BSc Electrical and Electronics Engineering ,2,Software
447, Strategic HR Associate ,Illustrator,BA Theatre annd media arts,5,Logistics & Transportation
448, Sales Executive ,Industrial Designer,"BSc, Business Administration and Management",10,Real Estate
449, Lead Petrophysicist ,Interior Designer,"Bachelor's degree, political Science ",10,Business Products & Services
450, Business Development Executive,Jewelry Designer,"BS, Computer Science",5,Advertising & Marketing
451, Freie Universität Bozen,Landscape Architect,"BS, Computer Science",10,Business Products & Services
452, CEO ,Lighting Designer,"Bachelor of Arts - BA, Linguistics
",10,Business Products & Services
453, Editor ,Makeup Artist,BSc Microbiology,10,Financial Services
454," Journalist, Producer & Senior Digital Media ...",Musician,BSc in Environmental Design,10,Advertising & Marketing
455, News Editor ,Music Producer,BSc Social sciences,10,Software
456, Documentary Photographer,Photographer,BA.Philosophy ,15,Software
457," Video Journalist, News Specialist",Public Relations Specialist,Bsc.Economics ,12,Logistics & Transportation
458, CEO/MD,Set Designer,"LLB,Law ",10,Government Services
459, Journalist ,Songwriter,Bsc.Micro Biology ,5,Food & Beverage
460, Freelance Journalist,Sound Designer,Bsc.Biochemistry ,10,Energy
461, Environmental Protection Officer,Special Effects Artist,Bsc.Economics ,5,Financial Services
462, Coordinatrice de l`antenne de RFI en ...,Stylist,Bsc.Accounting ,5,Manufacturing
463, Broadcast Journalist ,Tattoo Artist,Bsc.Biology and Biological Science,12,Energy
464, Lead Presenter & Associate ...,Teacher,Bsc.Business Administration and Management ,5,Energy
465, Writer and Editor ,Urban Planner,Bsc.Marine Biology,8,Retail
466, AFYVA,Video Editor,"BA,Linguistics ",8,Food & Beverage
467, Founder ,Video Game Designer,"BASc, Computer Science",5,Construction
468, Freelance,Web Designer,"Bachelor's degree, Systems Engineering",7,Real Estate
469, Journalist ,Writer,"Bachelor degree, Banking and Finance",8,Business Products & Services
470, Publisher ,Accountant,"BS, Geophysics",7,IT Management
471, Environmental Scientist ,Actuary,"BSc, Computer Science with Economics",5,Telecommunications
472, Pest control journalist ,Auditor,"BSc, Geography and Environmental Management",5,Financial Services
473, Personal Assistant ,Business Analyst,"BS, Civil and Environmental Engineering",10,Telecommunications
474, Business Management Consultant,Business Consultant,"BE, Mechanical Engineering",8,Health
475, Head of Programmes |Presenter,Entrepreneur,B.s.c Mass communications ,0,Software
476, Intern ,Financial Analyst,"Bsc, Computer Science",10,Advertising & Marketing
477, Technical Director ,Human Resources Manager,"BTech, Computer Engineering",6,Retail
478, I am a journalist ,Insurance Agent,"BS, Agricultural and Environmental Engineering",5,Health
479, Research Associate ,Investment Banker,"BSc, Computer Science",8,Manufacturing
480, Director of Communications,Loan Officer,B.Sc. Electrical and Electronics Engineering,10,IT System Development
481, Reporter ,Marketing Manager,"BE, Computer Engineering",5,Manufacturing
482, Broadcast Presenter and Video editor,Market Researcher,"BE, Computer Engineering",10,Business Products & Services
483, Data Analyst ,Operations Manager,"Bachelor's degree, Economics",8,Health
484, Author ,Project Manager,"Bachelor's degree, Computer Engineering",5,Real Estate
485, General Secretary ,Public Relations Specialist,"BBA, Business Analytics",7,Consumer Products & Services
486, Freelance Video Journalist ,Real Estate Agent,"BS, Computer Science",4,Software
487, Head Of Broadcast Department ,Sales Manager,"Bachelor of Medicine, Bachelor of Surgery - MBBS, Medicine",5,Government Services
488, Sports Administrator ,Stockbroker,"Bachelor of Agriculture, Agricultural Economics",7,Business Products & Services
489, HEELHEID BUSINESS,Tax Advisor,"Bachelor's degree, Accounting",10,Construction
490, Fact Checker ,College Professor,"BA, English Language and Literature",4,Consumer Products & Services
491, Social Media Manager ,Curriculum Developer,"BE, mechantronics engineering",10,Logistics & Transportation
492, Head Digital Technology Support,Educational Therapist,"BE, Mechanical Engineering",10,Education
493, Student Intern ,Guidance Counselor,BSc Electrical and Electronics Engineering ,7,Manufacturing
494, Property Manager ,Instructional Designer,"BTech, Computer Science",5,Government Services
495, Executive Assistant ,Language Teacher,"Bachelor’s Degree, Electrical and Electronics Engineering",5,Health
496, Associate ,Librarian,"BSc. (hons), Electrical & Electronic Engineering",4,Government Services
497, Field Marketing Representative,Preschool Teacher,"BE, Electrical and Electronics Engineering",10,Consumer Products & Services
498, Manager ,School Principal,B Tech. in Quantity Surveying,6,Software
499, Graduate Research Assistant,Special Education Teacher,"BS, Computer Science",10,Consumer Products & Services
500, Lead Creative,Teacher,"BE, Mechanical Engineering",3,Health
501, University of Lagos,Teacher Trainer,"Bachelor of Science (B.Sc.), Computer Science",7,Consumer Products & Services
502, Sales And Marketing Specialist,Tutor,B.Sc. Computer Science,10,Business Products & Services
503, University of Lagos,Aerospace Engineer,"BS, Biochemistry",10,IT Management
504, Founder ,Biomedical Engineer,"Chemistry/Education , Education",5,Business Products & Services
505, Product Manager ,Chemical Engineer,"BEd, Guidance and counseling ",7,Government Services
506, Assistant Registrar,Civil Engineer,"Bachelor's degree, Biochemistry",10,Advertising & Marketing
507," Ilorin, Kwara State, Nigeria",Computer Engineer,LLB. Law,7,Real Estate
508, Customer Specialist ,Data Scientist,"B. Fisheries, Aquaculture",5,Consumer Products & Services
509, Artist ,Electrical Engineer,"BS, Biology/Biological Sciences, 
",10,Software
510," Head, Non",Industrial Engineer,"Bachelor's degree, Economics",10,Energy
511, Adjunct Instructor ,Marine Engineer,"Bachelor's degree, Natural Sciences( Microbiology)
",5,Logistics & Transportation
512, Social Media Manager and Designer,Mechanical Engineer,"BSc, Accounting",7,Government Services
513, Content Writer ,Network Engineer,B.Sc Accounting,7,Insurance
514, Head of Media ,Robotics Engineer,"BA, Mass Communication/Media Studies",5,Business Products & Services
515, Content Writer ,Software Developer,"BS, Accounting",10,Construction
516, Qubators,Software Engineer,"Bachelor of Laws - LLB, Law",6,Software
517, OPay,Systems Engineer,"BS, Geography",5,Financial Services
518, Policy and Strategy Resource,Web Developer,"Bachelor's degree, civil engineering",10,Consumer Products & Services
519, Electonic document management Engineer,Acupuncturist,"BEng, Electronic & Computer Engineering ",5,Construction
520, Content Administrator,Anesthesiologist,"BE, Electrical and Electronics Engineering",10,Government Services
521, News Manager ,Cardiologist,"BSc, Biochemistry",10,IT Management
522, Ahmadu Bello University,Chiropractor,"BBA, Business Administration and Management",5,Software
523, University of Lagos,Dentist,"BTech, urban and regional planning",5,IT System Development
524, procurement and logistics officer,Dental Hygienist,"BS, Computer Technology",5,Business Products & Services
525, Visual Content Producer ,Dietician,"BS, Computer Science",10,IT System Development
526, Business Growth Consultant ,Emergency Medical Technician (EMT),"Bachelor of Science - BS, Sociology",7,Advertising & Marketing
527, Retail Products Support Officer,Family Physician,Bsc,3,Advertising & Marketing
528, Creative Director ,Genetic Counselor,BSc. Electrical/Electronics Engineering,5,Consumer Products & Services
529, Founder ,Massage Therapist,"BSc, Agricultural Engineering And Environmental Engineering",5,Government Services
530, Video Editor ,Medical Assistant,BSc (ED) Economics,10,Advertising & Marketing
531, Director ,Nurse,BSc Economics,8,Government Services
532, Eaton,Occupational Therapist,Bsc. Geology and Mineral Sciences,10,Government Services
533, Web developer and content producer,Optometrist,Bsc. Petroleum engineering ,7,Advertising & Marketing
534, Reporter and Presenter,Orthodontist,Bsc. zoology/Animal Biology,5,Logistics & Transportation
535, Accountant ,Pharmacist,BSc Computer science/Cybersecutity ,7,Health
536, news and programme assistant,Physical Therapist,BSc Industrial Chemistry ,12,Government Services
537, Fleet Coordinator,Physician Assistant,"Bsc, Clinical Laboratory Science",5,Government Services
538, Digital Product Manager ,Psychologist,"Bsc, Microbiology",5,Construction
539, AIESEC in Nigeria,Radiologist,"BSc, Nursing ",11,Computer Hardware
540, Assistant Quantity Surveyor,Registered Nurse (RN),"BSc, Biochemistry",4,Advertising & Marketing
541, Media And Communications Officer,Speech-Language Pathologist,BSc. Law,5,Financial Services
542, Account Manager ,Surgeon,"BSc, Statistics",7,Insurance
543, Founder / Director,Veterinarian,"Bachelors of Medicine, Bachelors of Surgery",7,Government Services
544, CEO/MD ,Lawyer,B.Tech Applied Geology,7,Insurance
545, Quantity Surveyor,Law Enforcement Officer,Bsc. Marketing ,4,Real Estate
546, Self Employed ,Paralegal,Bsc. Chemical Engineering ,10,Human Resources
547, Founder ,Politician,BSc Statistics ,5,Engineering
548, Assistant Lecturer ,Social Worker,BSc Computer science ,10,Advertising & Marketing
549, Creative Director ,Astronomer,B.Arch Architecture ,4,Education
550, Film/video editor and camera operator,Biochemist,BSc Human Physiology,5,Consumer Products & Services
551, Magistrate ,Biologist,BSc Chemical Engineering ,9,Engineering
552, First Responder | Fire Officer,Chemist,BE Civil Engineering,5,Advertising & Marketing
553, MD ,Climatologist,BSc Tourism Management ,12,Government Services
554, Administrative Assistant,Ecologist,B.eng  Petroleum Engineering ,7,Retail
555, HOD and Class Teacher ,Geologist,BSc Chemistry,10,Manufacturing
556, Production Manager ,Marine Biologist,BSc Economics,9,IT Management
557, Research Analyst ,Mathematician,BSc Economics,5,Business Products & Services
558, Kenyatta University ,Meteorologist,BSc Linguistics and communication studies,10,Consumer Products & Services
559, Medical Laboratory Scientist,Paleontologist,B.Ed Education Mathematics ,10,Government Services
560, Offshore Installation Support Manager,Physicist,BA History and diplomatic studies,10,Retail
561, Project Manager ,Research Scientist,BSc Music,7,IT Management
562, Founder ,Statistician,BSc Biochemistry ,6,Education
563, Co,Counselor,BSc Biochemistry ,0,Advertising & Marketing
564, Presenter and Producer,Life Coach,BSc Pure ad Industrial chemistry,7,Food & Beverage
565, Client Relationship Manager,Probation Officer,BSc Human Resource management ,6,Retail
566, Education Professional ,Social Worker,BSc Entrepreneurship studies,6,Software
567, Office Manager ,Therapist,BSc Accounting,9,Software
568, Writer,Barber,B.Tech. Food Science and Technology ,12,Retail
569, Graduate Research Assistant,Carpenter,BSc Biochemistry ,3,Software
570, Event Decorator ,Electrician,BSc Industrial Chemistry ,3,Health
571, Human Resource Associates,Hairdresser,Mechanical Engineering ,7,Business Products & Services
572, Education Professional ,HVAC Technician,BSc Biochemistry ,6,Business Products & Services
573, Intern ,Landscaper,BSc Economics ,5,Government Services
574, Founder and Coordinator,Mechanic,BSc Economics ,10,Construction
575, Creative Designer,Plumber,BSc Mechanical Engineering ,5,Government Services
576, Operational Sales Manager,Welder,BE Electrical and Electronics Engineering ,4,Energy
577, Executive Director Marketing/Operations,Athletic Trainer,Bsc Physics and Mathematics ,4,Retail
578, Mental Health Counsellor,Event Planner,Bsc Sociology ,9,Consumer Products & Services
579, Business Development Executive,Fitness Instructor,Bsc Industrial Microbiology ,7,IT System Development
580, Event Manager ,Flight Attendant,Bsc Integrated Marketing Communications ,5,IT Management
581, Member ,Hospitality Manager,Bsc Applied Microbiology and Brewing,7,Energy
582, Teacher and news editor ,Pilot,B.Tech Applied Geology,10,Security
583, Camera Assistant ,Travel Agent,,11,Consumer Products & Services
584, Photojournalist ,Life Coach,BSc Microbiology,5,IT Management
585, Administrative Assistant,Probation Officer,BA Religious studies,3,Real Estate
586, Coal Mining Operation Supervisor,Social Worker,BSc Biochemistry,10,Business Products & Services
587, Education Officer ,Therapist,BSc Pure and applied biology,10,IT Management
588, Focal Person ,Barber,BSc Food Science and Technology ,2,Business Products & Services
589, Copywriter ,Carpenter,BEng Electrical ad Electronics Engineering,10,Business Products & Services
590, Campus Ambassador ,Electrician,BSc Computer Science,11,Construction
591, servant ,Hairdresser,BSc Computer Science,4,Retail
592, On Air Personality ,HVAC Technician,B.Tech Microbiology,10,Food & Beverage
593, Content Writer ,Landscaper,BSc Computer Science,5,Retail
594, Student ,Mechanic,BSc Computer Science,5,Retail
595, Life Coach ,Plumber,BSc Computer Science,10,Logistics & Transportation
596, Information Technology Support Officer,Welder,"B.Eng Electrical, Electronics & Communications Engineering",10,Business Products & Services
597, student ,Athletic Trainer,BSc Computer Science and Education ,5,Consumer Products & Services
598, Sales And Marketing Specialist,Event Planner,BSc Microbiology,10,Telecommunications
599," Television technician, Vision control",Fitness Instructor,BSc Medical laboratory science,6,Travel & Hospitality
600, Procurement and logistics Manager,Flight Attendant,BTech Petroleum Engineering ,10,Food & Beverage
601, Real Estate Salesperson ,Hospitality Manager,BSc Computer Science,7,Health
602, University of Hull ,Pilot,BSc Cell Biology and Genetics,10,Energy
603, Associate ,Travel Agent,B.Tech Computer Science ,8,IT Management
604, Correspondent (Ogun State) ,Cartoonist,BSc. Mechanical Engineering ,6,Health
605, Cloud Administrator ,Cinematographer,BSc. Architecture,7,Energy
606, Content Writer ,Comic Book Artist,BSc. Biochemistry,10,Software
607, Growth Lead ,Composer,Bsc Geology and Mineral Science,5,Construction
608, design engineer ,Conductor,BSc Banking and Finance,10,Advertising & Marketing
609, Art Teacher ,Costume Designer,BA English and Literature,0,Human Resources
610, Principal Internal Audit Officer,Craftsperson,BA Mass communication & Media studies,3,Logistics & Transportation
611, Sales Manager ,Dancer,BSc Computer science ,7,Real Estate
612, Executive Trainee ,Digital Designer,BSc Economics,7,Real Estate
613, Team Manager ,Editor,BSc Computer science ,10,Security
614," Usmanu Danfodiyo University, Sokoto",Fashion Designer,Bsc.Statistics ,0,Health
615, Silverbird Cinemas Limited,Film Director,Bsc.Geology and Mineral Science ,4,Software
616, University of Benin ,Fine Artist,Bsc.Biochemistry ,5,Insurance
617, Frontend Web Developer ,Floral Designer,Bsc.Botany/plant Biology,7,IT Management
618, Marketing Manager,Graphic Designer,BE.Civil Drafting and Civil Engineering ,6,IT Management
619, Higher Laboratory Technologist ,Illustrator,Bsc.Finance,6,Financial Services
620, Supervisor ,Industrial Designer,Bsc.Chemical Engineering ,5,Software
621, Self Employed,Interior Designer,Bsc.Petroleum Engineering ,5,IT System Development
622, Higher Executive Officer,Jewelry Designer,BE.Chemical Engineering ,5,Human Resources
623, Medical Officer ,Landscape Architect,Bsc.Biochemistry ,10,Real Estate
624, Volunteer Staff ,Lighting Designer,"BE,Civil Engineering ",4,Advertising & Marketing
625, Nigeria Marketing Representative ...,Makeup Artist,Bsc.Biochemistry ,5,Business Products & Services
626," Accra, Greater Accra Region, Ghana",Musician,BSc Food Engineering,10,Retail
627, Editor In Chief ,Music Producer,BSc Computer Science,3,Financial Services
628, The ONE Campaign,Photographer,BE. Agricultural and Bioresources engineering ,3,Consumer Products & Services
629, Sentit,Public Relations Specialist,BE. Petroleum Engineering ,5,Media
630, Manager/ Personal Assistant to the MD/CEO,Set Designer,BE. Chemical Engineering ,3,Business Products & Services
631," Halifax, England, United Kingdom",Songwriter,BA Fine Arts and design,0,Engineering
632, Digital Artist ,Sound Designer,BS Plant Science and Biotechnology ,5,Telecommunications
633, Executive Program Director ,Special Effects Artist,BTech Industrial and Product Design ,4,Travel & Hospitality
634, Business Development Officer and ...,Stylist,BA Mass Communication ,5,Health
635, City of Ottawa ,Tattoo Artist,Bsc.Accounting and Finance ,9,Engineering
636, Curriculum Analyst(Advisory),Teacher,Bsc.Agricultural Economics ,10,Computer Hardware
637, Lead strategist ,Urban Planner,Bsc.Accounting ,10,Business Products & Services
638, Head of Social and Content,Video Editor,"BE,French and Education",10,Telecommunications
639, Founder ,Video Game Designer,Bsc.Marketing ,7,Human Resources
640, Ambassador ,Web Designer,Bsc.Economics ,5,Software
641, Content Creator ,Writer,BSc Business Administration and Management ,5,Software
642, Customer Service Officer,Accountant,BA Mass commuication/Media studies,10,Food & Beverage
643, Graduate Assistant ,Actuary,BA Mass commuication/Media studies,5,Health
644, Technology and Design Associate,Auditor,BA English Language/ Literature ,10,Health
645, Telesales Representative ,Business Analyst,BA Combined Arts,6,Business Products & Services
646, Toronto Metropolitan University,Business Consultant,BSc Anatomy,7,Financial Services
647, Social Media Manager,Entrepreneur,B.Eng. Electronics and computer Engineering ,10,Software
648, GOGOOJ GOLDEN MCPS LTD.,Financial Analyst,B.Eng. Electrical Engineering ,5,Business Products & Services
649," Jhang, Punjab, Pakistan | Professional Profile",Human Resources Manager,BSc Computer Science,10,Construction
650, Care Givers,Insurance Agent,Bsc.Geophysics,3,Financial Services
651, Corporate Communications Officer ,Investment Banker,"BA,Bachelor of Art",10,Retail
652, Production Manager ,Loan Officer,Bsc.Geography ,8,Advertising & Marketing
653," Department for Environment, Food and ...",Marketing Manager,Bsc.Public Administration ,5,IT System Development
654, World Health Organization UCL,Market Researcher,"BE,Electrical and Electronics Engineering ",5,Business Products & Services
655, Noni ,Operations Manager,Bsc.Computer Science ,10,Real Estate
656, voorman expeditie ,Project Manager,Bsc. Physiology,3,Consumer Products & Services
657, Vytauto Didžiojo universitetas,Public Relations Specialist,Bsc. Microbiology,8,Software
658, Teaching Assistant ,Real Estate Agent,"B.Sc, International Public Health/International Health",4,Software
659, Teaching Assistant ,Sales Manager,"BS, Biochemistry",3,Construction
660, TU Delft | Civil Engineering and Geosciences,Stockbroker,"BS, Management and Accounting",5,Consumer Products & Services
661, Member ,Tax Advisor,"B.Sc, Microbiology, General",10,Business Products & Services
662, Independant PR @ communications ...,College Professor,Bachelor of Industrial Mathematics,10,Engineering
663, Digital Marketer ,Curriculum Developer,BS Marine Biology and Biological ,4,Financial Services
664, Graphic Designer and digital marketer,Educational Therapist,"BScEd, Home Economics",0,Software
665, Digital Marketer/Creative Director,Guidance Counselor,Bsc.Psychology ,10,Logistics & Transportation
666, Graphic Designer ,Instructional Designer,Bsc.Psychology ,4,Financial Services
667, Marketing Director ,Language Teacher,Bsc.Mass Communication ,2,Government Services
668, graphics designer/social media manager,Librarian,Bsc.Biology/Biological ,10,Consumer Products & Services
669, Social Media Graphics Designer,Preschool Teacher,"Bsc,Economics ",10,Health
670, Graphic Designer,School Principal,Bsc.Sociology ,8,Media
671, Digital Marketing Manager & Lead ...,Special Education Teacher,Bsc.Computer Science ,3,Education
672, Social Media Manager,Teacher,Bsc.Computer Science ,10,Business Products & Services
673," Graphic Illustrator, digital marketer ...",Teacher Trainer,Bsc.Mass Communication ,8,Software
674, Digital marketing ,Tutor,Bsc.Computer Science ,6,Software
675, Social Media Manager ,Aerospace Engineer,"BA,  Linguistics ",8,Health
676, Freelance Graphic Designer,Biomedical Engineer,"BA,  Linguistics ",7,Government Services
677, Digital Marketing Specialist ,Chemical Engineer,B.Eng Mechanical Engineering ,7,Consumer Products & Services
678, Graphic Designer ,Civil Engineer,"BASc, Management Information Systems",10,Logistics & Transportation
679, Creative Director ,Computer Engineer,"BSc City/Urban, Community and Regional Planning",10,Software
680, Digital Marketing Agency Owner,Data Scientist,BSc. Computer Science,7,Real Estate
681, Graphic Designer and Social Media ...,Electrical Engineer,B.Tech. Computer Engineering,3,Advertising & Marketing
682, Web Designer and Digital Marketer,Industrial Engineer,BSc Fishing and Fisheries Sciences and Management,7,Human Resources
683, Marketing Strategist | Digital Marketer,Marine Engineer,BSc Geology/Earth Science,10,Construction
684, Digital Marketing Executive,Mechanical Engineer,BSc Electrical and Electronics Engineering ,5,Health
685, Digital Marketing Specialist ,Network Engineer,BA Theatre annd media arts,8,Government Services
686, Digital marketer and social media lead,Robotics Engineer,"BSc, Business Administration and Management",10,Business Products & Services
687, Digital Marketing Specialist,Software Developer,"Bachelor's degree, political Science ",3,Financial Services
688, Digital Marketing Manager,Software Engineer,"BS, Computer Science",5,IT Management
689, Graphic Designer ,Systems Engineer,"BS, Computer Science",6,Logistics & Transportation
690, Digital Marketing Executive ,Web Developer,"Bachelor of Arts - BA, Linguistics
",10,Financial Services
691, Fellow ,Acupuncturist,BA Linguistics ,0,Software
692, Digital Marketing Manager,Anesthesiologist,BSc Microbiology,6,Financial Services
693, Digital Marketing Specialist,Cardiologist,BSc in Environmental Design,8,Software
694, Graphic Designer/Digital Marketer,Chiropractor,BA Business Management ,10,Consumer Products & Services
695, Head of Digital Marketing and designs,Dentist,BSc Social sciences,10,Advertising & Marketing
696, Digital Marketing Manager ,Dental Hygienist,BA.Philosophy ,5,Education
697, Digital Marketer/ PR Specialist ,Dietician,Bsc.Economics ,8,Construction
698, Social Media Marketing Manager,Emergency Medical Technician (EMT),"AWS Certified Solutions Architect, Microsoft Certified: Azure Developer Associate",6,Consumer Products & Services
699, Digital Marketing Manager/Team ...,Family Physician,"Cisco Certified Network Associate (CCNA), CompTIA Security+",7,Human Resources
700, Digital Marketing Manager,Genetic Counselor,Certified Clinical Research Professional (CCRP),5,Government Services
701, Front,Massage Therapist,"Licensed Professional Counselor (LPC), Certified Mental Health Counselor (CMHC)",5,IT System Development
702, Creative Designer ,Medical Assistant,"Chartered Financial Analyst (CFA), Certified Management Accountant (CMA)",12,Government Services
703, Social Media Manager | Digital Marketer,Nurse,Certified SolidWorks Associate (CSWA),6,Consumer Products & Services
704, Digital Marketing Intern ,Occupational Therapist,Microsoft Certified: Azure Fundamentals,10,Business Products & Services
705, Graphic Designer ,Optometrist,Google Data Analytics Professional Certificate,7,Advertising & Marketing
706, Digital Marketing Manager ,Orthodontist,"Lab Safety Certification (OSHA), Hazardous Waste Operations and Emergency Response Standard (HAZWOPER)",6,Business Products & Services
707, Technical Lead ,Pharmacist,"LEED Green Associate, Certified Environmental Professional (CEP)",7,Media
708, Digital Marketing Manager,Physical Therapist,"Certified Information Systems Security Professional (CISSP), CompTIA Security+",5,Health
709, Managing Director ,Physician Assistant,Biomedical Engineering Certificate,4,Construction
710, Digital Marketing Manager ,Psychologist,"Project Management Professional (PMP), Certified Government Financial Manager (CGFM)",7,Business Products & Services
711, Wordpress Website Designer,Radiologist,"Certified Archivist (CA), Geographic Information Systems Professional (GISP)",10,Government Services
712, Social Media Designer,Registered Nurse (RN),"Certified Social Worker (CSW), Certified Nonprofit Professional (CNP)",5,Food & Beverage
713, Founder & Digital Marketing Manager,Speech-Language Pathologist,"Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",3,Consumer Products & Services
714, Graduate Student ,Surgeon,"Engineer-in-Training (EIT), LEED Accredited Professional (LEED AP)",10,Logistics & Transportation
715, ICT Officer ,Veterinarian,"Certified Ethical Hacker (CEH), Project Management Professional (PMP)",11,Advertising & Marketing
716," Sheffield, England, United Kingdom",Lawyer,"National Board Certification (NBCT), Google Certified Educator",10,Financial Services
717, THERAPEUO PLACE,Law Enforcement Officer,"LEED Accredited Professional (LEED AP), Autodesk Certified Professional (AutoCAD)",4,Logistics & Transportation
718," Group Head, Digital growth",Paralegal,"Certified Health Education Specialist (CHES), Certified in Public Health (CPH)",5,Health
719, Digital Specialist ,Politician,"Certified Mediator, Certified Ethical Hacker (CEH)",6,Energy
720, Social Media Manager/Digital marketing,Social Worker,"Adobe Certified Associate (ACA) in Video Communication, Avid Certified User (ACU)",10,Health
721, Associate Graphics Designer,Astronomer,"OSHA 40-Hour HAZWOPER Certification, Professional Geologist (PG)",9,Business Products & Services
722, Product Manager ,Biochemist,"Associated Press Stylebook Certification, Investigative Reporters and Editors (IRE) Membership",5,Construction
723, Graphic and Website Designer ,Biologist,"Registered Dietitian Nutritionist (RDN), Certified Nutrition Support Clinician (CNSC)",10,Government Services
